id_station;name_station;nama_propinsi;nama_kota;kecamatan;kelurahan;latt_station;long_station;elv_station;status_operasional;hp_petugas;tgl_pasang;addr_instansi;data_transport;instansi;nama_vendor
150026;ARG Gerogak;Bali;Kab. Buleleng;Gerogak;Patas;-8.197266967;114.79333;;operasional;82147447424;7/3/2015;"Gerokgak	Ds. Patas, Kec. Gerokgak, Buleleng";FTP;BPP Gerogak;BMKG-LSI
150027;ARG Kerambitan;Bali;Kab. Tabanan;Kerambitan;Meliling;-8.505048455;115.0834132;150;operasional;81338222726;10/30/2015;Jl. Raya Timpay Kerambitan;FTP;BPP Kerambitan;BMKG-LSI
150028;ARG Sukawati;Bali;Kab. Gianyar;Sukawati;Celuk;-8.601745;115.2651;71;operasional;82145011875;7/3/2015;Jl. Raya Celuk;HTTP GET;Lab. Pertanian Celuk;BMKG-LSI
150029;ARG Denpasar Barat;Bali;Kota Denpasar;Denpasar Barat;Sanglah;-8.660629159;115.205751;;operasional;85100013812;7/3/2015;Jl. Pulau Tarakan;FTP;BMKG;BMKG-LSI
150030;ARG Karangasem;Bali;Kab. Karang Asem;Abang;Kerta Mandala;-8.364629039;115.6106439;157;operasional;85238552765;7/3/2015;Jl. Raya Kahang-kahang;FTP;BMKG ;BMKG-LSI
150317;ARG Gilimanuk;Bali;Kab. Jembrana;Negara;Gilimanuk;-8.187332686;114.4406104;7;operasional;8.81039E+11;9/8/2017;Jl. Raya Gilimanuk;FTP;Kantor Balai TNBB;MMI-LSI
150318;ARG Busungbiu;Bali;Kab. Buleleng;Busungbiu;Bisungbiu;-8.26064;114.970596;273;operasional;85237094584;8/10/2017;JL Seririt Pupuan;HTTP GET;BPP Busungbiu;MMI-LSI
STA0066;ARG Buleleng;Bali;Kab. Buleleng;Sukasada;Sukasada;-8.13387329;115.0997239;89;operasional;87762973091;9/13/2016;JL Jelantik Gingsir No 2.;HTTP GET;BPP Sukasada;BMKG-MSP
STA0067;ARG Kintamani;Bali;Kab. Bangli;Kintamani;Kintamani;-8.25065;115.3295;1447;operasional;85338512311;9/13/2016;JL Raya Kintamani;HTTP GET;BPP Kintamani Timur;BMKG-MSP
STA0068;ARG Petang;Bali;Kab. Badung;Petang;Petang;-8.391552;115.21862;586;operasional;82266473871;9/13/2016;Jl. Raya Petang, Badung, Bali;HTTP GET;UPPT Petang;BMKG-MSP
STA0115;ARG Nusa Penida;Bali;Kab. Klungkung;Nusa Penida;Pulukan;-8.67455;115.4994;20;operasional;85338223970;9/13/2016;Jl. Raya Pupuan - Pekutatan;HTTP GET;BPP Nusa Penida;BMKG-MSP
STA0136;ARG Abiansemal;Bali;Kab. Badung;Abiansemal;Blahkuih;-8.517779989;115.2083602;184;operasional;85937009510;9/13/2016;-;FTP;BPP Abiansemal;BMKG-MSP
