id_station;name_station;nama_propinsi;nama_kota;kecamatan;kelurahan;latt_station;long_station;elv_station;status_operasional;hp_petugas;tgl_pasang;addr_instansi;data_transport;instansi;nama_vendor
STA6012;ASRS Jembrana;Bali;Kab. Jembrana;Negara;Baler Bale Agung;-8.34058;114.617503;22;operasional;081315065082;11/21/2017;Jl. Leli No. 9 Baler Bale Agung Negara;;BMKG;MMI-LSI
STA6016;Staklim Banten (ASRS);Banten;Kota Tangerang Selatan;Pondok Aren;Pondok Betung;-6.26159;106.75079;24;operasional;081398888485;10/29/2019;Jl.Raya Kodam Bintaro No.82;;Stasiun Klimatologi Banten;
STA6009;ASRS Bengkulu;Bengkulu;Kota Bengkulu;Kampung Melayu;Kandang;-3.864852;102.3121;13;operasional;081386249230;12/7/2017;Jl.IR Rustandi Sugianto Pulau Baai;;Staklim Bengkulu;MMI-LSI
STA6010;ASRS Mlati;DI Yogyakarta;Kab. Sleman;Mlati;Sendangadi;-7.73106406;110.3535783;181;operasional;085291221608;11/13/2017;Jl.Kabupaten KM 5.5;FTP;Stasiun Klimatologi D.I. Yogyakarta;MMI-LSI
STA6014;ASRS Tilongkabila;Gorontalo;Kab. Bone Balango;Tilongkabila;Moutong;0.555833;123.140546;47;operasional;;11/30/2017;Jl.BJ.Habibie;;Stasiun Klimatologi Gorontalo;MMI-LSI
STA6007;ASRS Jambi;Jambi;Kab. Muaro Jambi;Jaluko;simpang sungai duren;-1.60111;103.4944;23;operasional;082283308762;12/4/2017;Jalan Raya Jambi-Muara Bulian KM18;;BMKG;MMI-LSI
STA6001;ASRS Bogor;Jawa Barat;Kota Bogor;Bogor Barat;Situgede;-6.55311;106.74285;176;operasional;089503229575;10/27/2017;Jl.Alternatif IPB - Situ Gede;;Sta.Klimat Kelas I Jawa Barat;MMI-LSI
STA6018;ASRS Staklim Jawa Tengah;Jawa Tengah;Kota Semarang;Semarang Barat;Kalibanteng Kulon;-6.984;110.3809;;operasional;08995839858;10/29/2019;Jl. Siliwangi No. 291, Semarang ;;Stasiun Klimatologi  Semarang;
STA6011;ASRS Staklim Jawa Timur;Jawa Timur;Kab. Malang;Karang Ploso;Ngijo;-7.90136;112.597789;600;operasional;081233534679;11/15/2017;Jl.Zetana No.33;;Stasiun Klimatologi Jawa Timur;MMI-LSI
STA6003;ASRS Staklim Kalbar;Kalimantan Barat;Kab. Mempawah;Jongkat;Sungai Nipah;0.075277;109.190833;2;operasional;089662653094;11/4/2017;Jl. Raya Sei Nipah Km.20.5 Jungkat;;BMKG;MMI-LSI
STA6002;ASRS Banjarbaru;Kalimantan Selatan;Kota Banjar Baru;Banjarbaru Selatan;Sungai Besar;-3.46221;114.840631;48;operasional;087816694477;1/1/2018;Stakilm Banjarbaru Jln Trikora;;BMKG;MMI-LSI
STA6025;ASRS Panarung;Kalimantan Tengah;Kota Palangkaraya;Panarung;Pahandut;-2.228055556;113.9462222;10;operasional;0;10/28/2020;Jl. A Donis Samad;;Stasiun Meteorologi Tjilik Riwut Palangkaraya;
STR1005;ASRS Stasiun Meteorologi Nunukan;Kalimantan Utara;Kab. Nunukan;Nunukan;Nunukan Timur;4.1358615;117.6662083;8.2;operasional;085247119278;9/4/2023;Stasiun Meteorologi Nunukan, Nunukan Timur, Nunukan, Kab Nunukan;;Stasiun Meteorologi Nunukan;EKO
STA6017;Stasiun Klimatologi Bangka Belitung (ASRS);Kepulauan Bangka Belitung;Kab. Bangka Tengah;Koba;Padang Mulia;-2.518023;106.4228;5.8;operasional;082280190609;10/29/2019;Komplek perkantoran pemerintahan kab. Bangka Tengah Jl. Kartika 1 koba 33181;;Stasiun Klimatologi Bangka Belitung;
ASRS333;ASRS Pesawaran;Lampung;Kab. Pesawaran;Tegineneng;Sidobasuki;-5.17225;105.180383;70;operasional;085219701259;9/13/2016;Tanjung Karang;FTP;staklim lampung;BMKG-Jinyang
STA6015;ASRS Seram Bagian Barat;Maluku;Kab. Seram Bagian Barat;Kairatu;Kairatu;-3.3388;128.3684;10;operasional;;11/27/2017;Jl.Hunitetu;;STAKLIM Kairatu;MMI-LSI
STA6021;Stasiun Meteorologi  Babullah (ASRS);Maluku Utara;Kota Ternate;Ternate Utara;Tafure;0.82934;127.38159;;operasional;81340042148;10/29/2019;Jl. Bandar Udara Babullah Ternate;;Sta. Met Ternate;
STA6004;ASRS Aceh Besar;Nanggroe Aceh Darusalam;Kab Aceh Besar;Indrapuri;Lampana Ranjo;5.403609;95.464794;64;operasional;85261923611;11/8/2017;Jl.Banda Aceh - Medan KM 27.5;;Stasiun Klimatologi Aceh Besar;MMI-LSI
