id_station;name_station;nama_propinsi;nama_kota;kecamatan;kelurahan;latt_station;long_station;elv_station;status_operasional;hp_petugas;tgl_pasang;addr_instansi;data_transport;instansi;nama_vendor
STI1001;IKRO Staklim Bali;Bali;Kab Jembrana;Negara;Baler Bale Agung;-8.34058;114.617503;22;operasional;81315065082;12/31/2016;Jl.Leli No.9;;BMKG;BMKG-LSI
50010;Iklim Mikro Staklim Banten;Banten;Kota Tangerang Selatan;Pondok Betung;Pondok Betung;-6.2618749;106.7507605;24;operasional;81398888485;12/07/2018;Jl. Raya Kodam Bintaro No. 82;;STAKLIM BANTEN;
50018;Stasiun Klimatologi Bengkulu;Bengkulu;Kota Bengkulu;kampung melayu;kandang;-3.86493;102.311998;13;operasional;81386249230;10/23/2020;Jl. Ir. Rustandi Sugianto Pulau Baai, Kota Bengkulu;;Staklim Bengkulu;
50011;Stasiun Klimatologi Mlati;DI Yogyakarta;Kab Sleman;Mlati;Sendangadi;-7.731175;110.3536861;182;operasional;85291221608;12/07/2018;Jl. Kabupaten Km 5,5, Duwet, Sendangadi ;;Staklim BMKG Yogyakarta;
50001;Staklim Bone Bolango;Gorontalo;Kab Bone Balango;Tilongkabila;Moutong;0.555833;123.140546;47;operasional;;12/06/2018;Jl. BJ. Habibie (By pass);;Stasiun Klimatologi Gorontalo;
50009;Stasiun Klimatologi Muaro Jambi;Jambi;Kab Muaro Jambi;Jaluko;Simpang Sungai Duren;-1.60166667;103.4945556;23;operasional;82380494828;12/07/2018;Jl. Raya Jambi-Muara Bulian Km 18 ;;BMKG;
50016;Stasiun Klimatologi Jawa Barat;Jawa Barat;Kota Bogor;Bogor Barat;Situgede;-6.55289;106.74287;176;operasional;89503229575;10/04/2020;JL. CILUBANG MEKAR  NO 4 SITU GEDE BOGOR;;Stasiun Klimatologi  Jawa Barat;
50003;IKRO Staklim Jawa Tengah;Jawa Tengah;Kota Semarang;Semarang Barat;;-6.9848;110.3808;3;operasional;247612394;11/20/2018;Jl.Siliwangi No.291;;Stasiun Klimatologi Semarang;MMI-LSI
STI1002;IKRO Staklim Jawa Timur;Jawa Timur;Kab Malang;Karang Ploso;Ngijo;-7.90136;112.597789;600;operasional;81233534679;11/23/2016;Jl.Zetana No.33;;BMKG;BMKG-LSI
STI1003;IKRO Staklim Kalbar;Kalimantan Barat;Kab Mempawah;Siantan;Sungai Nipah;0.075277;109.190833;1;operasional;81345242526;12/31/2016;Jl. Raya Sei Nipah Km.20.5;;Staklim Kalimantan Barat;BMKG-LSI
STI1004;IKRO Staklim Kalsel;Kalimantan Selatan;Kota Banjar Baru;Banjarbaru Selatan;Sungai Besar;-3.462239;114.840757;48;operasional;87816694477;12/31/2016;Jl.Trikora;;BMKG-Staklim Kalsel;BMKG-LSI
50008;Stasiun Klimatologi Bangka Belitung (IKLIM MIKRO);Kepulauan Bangka Belitung;Kab Bangka Tengah;Koba;Padang Mulia;-2.5233;106.4167;5.8;operasional;82280190609;12/06/2018;Komp. Perkantoran terpadu Jl. Kartika I ;;Stasiun Klimatologi Bangka Belitung;
50017;Stasiun Klimatologi Pesawaran;Lampung;Kab Pesawaran;Tegineneng;Bumi agung;-5.172232;105.180371;80;operasional;85219701259;10/16/2020;Jl. Raya Tegineneng-Masgar KM 35 Tegineneng Pesawaran Lampung ;;staklim lampung;
